# BIO 202 — release gate
# =============================================================================
# One row per page.  o = open (students can work it)   x = locked (they cannot)
#
# Change a letter, save, commit, push. That is the whole workflow — nothing
# else in the repo needs touching, and no lesson file knows or cares which
# state it is in.
#
# Everything ships open, so this file changes nothing until you start editing
# it. To close the whole course and open it week by week, replace every "o"
# with "x" in one pass:
#
#     sed -i '' 's/^\(\S*\)\( *\)o /\1\2x /' LOCKS.txt      # macOS
#
# HOW A LOCK BEHAVES
#   On the landing page a locked row renders as a greyed, unclickable card
#   reading "opens later". If a student types the URL anyway, the lesson
#   replaces itself with the same notice before any of it is readable.
#
#   To look at a locked page yourself, add ?preview=1 to its URL.
#
#   This is a curtain, not a vault. It runs in the student's own browser, so a
#   student who disables JavaScript or reads the page source can get past it.
#   It exists to keep next week's homework from being stumbled into, which is
#   the actual problem; treating it as security would be a mistake. Anything
#   that must genuinely stay unseen should not be in a public repo at all.
#
#   If this file cannot be fetched, every page opens. A hosting hiccup must
#   never strand a student mid-homework.
#
# display: dim | hide
#   dim   locked rows stay visible on the landing page, greyed out, so the
#         students can see the shape of the term ahead of them.
#   hide  locked rows are not rendered at all.
display: dim
#
# =============================================================================
# key          state   (title, for your eyes only — edit freely, nothing reads it)
# -----------------------------------------------------------------------------

# Unit 1 — Measuring spread and the best single summary
lesson1         o   Adding up coin flips until a bell appears
lesson2         o   Resampling to ask if new data still belongs
lesson3         x   Subtracting the line and reading what's left
lesson4         x   Finding the cloud of lines that all fit the data
lesson5         x   Shuffling the predictor to see what chance can do
lesson6         x   Watching the same biology give four different verdicts
lesson7         x   Tracing how much of a parent ends up in their child

# Unit 2 — How proportions move when tokens get copied
lesson8         x   Counting the ratios that breed true
lesson9         x   Building the population where nothing changes
lesson10        x   Watching alleles wander in a finite population
lesson11        x   Reading a population's hidden size from how fast it loses variety
lesson12        x   Pushing the allele frequency with selection
lesson13        x   Where deleterious alleles get held in place

# Unit 3 — How groups differ, mix, and get their structure
lesson14        x   Counting heterozygote deficits
lesson15        x   How far a population shifts when you breed from the extremes
lesson16        x   Spreading or staying — populations connected by migration
lesson17        x   Helping relatives when cooperation can spread
lesson18        x   Reading trees with rotated nodes
lesson19        x   Removing the family resemblance before comparing species

# Unit 4 — How change piles up over long stretches
lesson20        x   Measuring rates across sliding intervals
lesson21        x   Mutation target size and the parallel evolution it produces
lesson22        x   Reading selection off codon ratios
lesson23        x   How incompatibilities pile up between two diverging lineages
lesson24        x   Same outcome, three different histories
lesson25        x   Deciding one species or two — and what would change your mind

# Unit 5 — How new units of accounting emerge
lesson26        x   Splitting a change in the average into two pieces
lesson30        x   When cells stop competing — the body emerges
lesson31        x   When workers stop reproducing — the colony emerges
lesson34        x   Capstone — what is an individual?

# Scaffolds — small, repeated practice
s01             o   "No trend" is a distribution
s02             o   Reading the leftovers across datasets
s03             o   Counting the well-mixed baseline
s04             o   Odds a wandering token takes over
s05             o   How long the wandering takes
s06             o   Wandering, a push, or both?
s07             o   How far the finches shift, year by year
s08             o   Reading the push from the change
s09             o   Where making and removing balance
s10             o   Reading the deficit off the counts
s11             o   The gap and the trickle between patches
s12             o   When helping pays across relatedness
s13             o   Reading trees with rotated nodes
s14             o   How the rate shrinks with the window
s15             o   Slopes before and after family history
s16             o   Clashes pile up faster than time
s17             o   How big a target chance has to hit
s18             o   Reading a bias off two kinds of change
s19             o   One end state, three ways to reach it
s20             o   One kind or two — and what would flip it

# Cross-cutting drills
s21             o   When holding something fixed helps, and when it hurts
s22             o   What may you legitimately claim?
s23             o   The cloud and the histogram are one cloud
s24             o   When agreeing methods earn trust
s25             o   A line where some points count more than others
s26             o   Got it from someone, or came up with it
s27             o   Counting what is left after something did the removing

# Sandboxes — no rounds, no score
descent         o   Descent (pedigree explorer)
